featureID	uniq_len	num_alignments	counts	tpm
BHNFMJIF_00254	729	43.0	36.26	51.75
BHNFMJIF_00255	588	466.5	401.96	711.25
BHNFMJIF_00256	1364	763.0	720.37	549.49
BHNFMJIF_00257	737	699.5	669.43	945.05
BHNFMJIF_00258	608	579.5	375.67	642.86
BHNFMJIF_00259	692	592.0	523.67	787.35
BHNFMJIF_00260	465	124.0	114.77	256.80
BHNFMJIF_00261	722	21.5	21.20	30.55
BHNFMJIF_00262	1052	20.0	18.07	17.88
BHNFMJIF_00263	1221	1.0	1.00	0.85
BHNFMJIF_00264	744	0.0	0.00	0.00
BHNFMJIF_00265	1209	0.0	0.00	0.00
BHNFMJIF_00266	1344	0.0	0.00	0.00
BHNFMJIF_00267	219	37.5	29.17	138.57
BHNFMJIF_00268	1503	216.5	205.27	142.10
BHNFMJIF_00269	1146	206.0	202.28	183.65
BHNFMJIF_00270	705	216.0	203.44	300.24
BHNFMJIF_00271	1509	392.0	368.70	254.21
BHNFMJIF_00272	1437	729.5	716.57	518.82
BHNFMJIF_00273	1179	218.5	208.02	183.57
BHNFMJIF_00274	1170	236.5	220.63	196.19
BHNFMJIF_00275	1059	652.0	576.97	566.86
BHNFMJIF_00276	1299	312.0	307.56	246.34
BHNFMJIF_00277	951	438.5	415.92	455.03
BHNFMJIF_00278	1434	33.0	30.50	22.13
BHNFMJIF_00279	933	64.0	60.03	66.94
BHNFMJIF_00280	1449	256.0	252.35	181.19
BHNFMJIF_00281	726	18.5	17.06	24.44
BHNFMJIF_00282	645	28.5	27.26	43.97
BHNFMJIF_00283	767	11.0	10.39	14.09
BHNFMJIF_00284	631	9.0	8.09	13.34
BHNFMJIF_00285	1166	11.5	8.37	7.47
BHNFMJIF_00286	1272	50.5	49.47	40.46
BHNFMJIF_00287	960	11.5	11.48	12.44
BHNFMJIF_00288	366	634.0	631.60	1795.44
BHNFMJIF_00289	1413	818.0	790.28	581.90
BHNFMJIF_00290	1266	644.5	593.51	487.76
BHNFMJIF_00291	1941	1202.5	1168.67	626.44
BHNFMJIF_00292	666	10.0	8.31	12.98
BHNFMJIF_00293	1170	265.5	259.01	230.33
BHNFMJIF_00294	1047	94.0	87.83	87.28
BHNFMJIF_00295	327	37.0	32.85	104.53
BHNFMJIF_00296	498	51.0	47.58	99.41
BHNFMJIF_00297	717	62.5	53.78	78.04
BHNFMJIF_00298	1251	252.5	232.94	193.73
BHNFMJIF_00299	1518	1041.5	1036.11	710.15
BHNFMJIF_00300	2214	307.0	302.13	141.98
BHNFMJIF_00301	354	44.5	33.70	99.05
BHNFMJIF_00302	414	487.0	483.81	1215.88
BHNFMJIF_00303	772	26.0	24.11	32.49
BHNFMJIF_00304	727	21.0	19.47	27.86
BHNFMJIF_00305	1992	389.0	377.53	197.19
BHNFMJIF_00306	846	99.0	88.86	109.29
BHNFMJIF_00307	483	367.5	342.58	737.94
BHNFMJIF_00308	120	9.5	0.41	3.51
BHNFMJIF_00309	552	854.0	843.54	1589.93
BHNFMJIF_00310	858	314.0	307.92	373.39
BHNFMJIF_00311	1893	815.0	812.67	446.66
BHNFMJIF_00312	2598	788.0	784.96	314.36
BHNFMJIF_00313	3342	156.5	155.70	48.47
BHNFMJIF_00314	1689	1246.5	1216.38	749.30
BHNFMJIF_00315	1167	417.5	400.32	356.90
BHNFMJIF_00316	822	730.0	686.02	868.31
BHNFMJIF_00317	651	284.0	249.62	398.94
BHNFMJIF_00318	1349	194.5	192.54	148.50
BHNFMJIF_00319	1445	241.5	235.31	169.43
BHNFMJIF_00320	1254	563.5	533.03	442.25
BHNFMJIF_00321	382	134.5	114.60	312.12
BHNFMJIF_00322	1246	1127.0	1091.94	911.79
BHNFMJIF_00323	396	217.5	200.99	528.06
BHNFMJIF_00324	861	9185.5	9163.47	11073.11
BHNFMJIF_00325	1524	1286.5	1261.34	861.11
BHNFMJIF_00326	588	45.0	41.21	72.92
BHNFMJIF_00327	837	165.5	158.00	196.41
BHNFMJIF_00328	3138	305.0	298.82	99.08
BHNFMJIF_00329	1341	59.5	58.69	45.53
BHNFMJIF_00330	1341	37.5	35.11	27.24
BHNFMJIF_00331	2754	93.0	92.13	34.81
BHNFMJIF_00332	3312	125.0	124.36	39.07
BHNFMJIF_00333	2112	295.5	293.05	144.36
BHNFMJIF_00334	2334	48.5	43.39	19.34
BHNFMJIF_00335	1743	202.5	195.46	116.67
BHNFMJIF_00336	2004	185.5	183.47	95.25
BHNFMJIF_00337	972	391.0	381.24	408.08
BHNFMJIF_00338	288	108.5	69.56	251.31
BHNFMJIF_00339	1329	208.5	176.43	138.12
BHNFMJIF_00340	603	328.5	316.65	546.35
BHNFMJIF_00341	576	77.5	73.41	132.61
BHNFMJIF_00342	1656	271.0	246.14	154.65
BHNFMJIF_00343	1350	260.0	252.01	194.22
BHNFMJIF_00344	197	15.0	7.88	41.64
BHNFMJIF_00345	197	16.0	12.33	65.09
BHNFMJIF_00347	706	46.5	45.15	66.53
BHNFMJIF_00348	727	69.0	62.88	89.98
BHNFMJIF_00349	4398	214.5	210.20	49.73
BHNFMJIF_00350	243	438.0	424.72	1818.49
BHNFMJIF_00351	1500	484.5	462.22	320.61
BHNFMJIF_00352	1287	10.0	9.79	7.92
BHNFMJIF_00353	491	97.0	94.80	200.89
BHNFMJIF_00354	2156	392.0	385.73	186.14
BHNFMJIF_00355	177	26.5	11.51	67.64
BHNFMJIF_00356	1014	19.5	18.74	19.23
BHNFMJIF_00357	648	5.5	5.09	8.17
BHNFMJIF_00358	645	2.5	2.50	4.03
BHNFMJIF_00359	426	82.0	81.13	198.14
BHNFMJIF_00360	534	22.0	20.83	40.59
BHNFMJIF_00361	1041	64.0	59.01	58.98
BHNFMJIF_00362	354	11.5	11.21	32.95
BHNFMJIF_00363	498	2.0	1.89	3.96
BHNFMJIF_00364	639	0.5	0.08	0.12
BHNFMJIF_00365	861	0.0	0.00	0.00
BHNFMJIF_00366	342	0.0	0.00	0.00
BHNFMJIF_00367	168	0.0	0.00	0.00
BHNFMJIF_00368	687	0.0	0.00	0.00
BHNFMJIF_00369	1056	1.5	1.50	1.48
BHNFMJIF_00370	218	3.0	2.59	12.36
BHNFMJIF_00371	1556	24.0	23.40	15.65
BHNFMJIF_00372	1046	7.0	6.72	6.68
BHNFMJIF_00373	593	2.5	1.65	2.89
BHNFMJIF_00374	474	30.5	23.04	50.57
BHNFMJIF_00375	546	27.5	25.49	48.57
BHNFMJIF_00376	453	106.0	39.07	89.73
BHNFMJIF_00377	789	0.0	0.00	0.00
BHNFMJIF_00378	1566	3.5	3.50	2.33
BHNFMJIF_00380	1080	227.0	219.59	211.55
BHNFMJIF_00381	2232	181.5	177.97	82.96
BHNFMJIF_00382	1442	177.0	170.95	123.34
BHNFMJIF_00383	3230	180.5	179.22	57.73
BHNFMJIF_00384	2841	42.5	42.05	15.40
BHNFMJIF_00385	3192	42.5	41.02	13.37
BHNFMJIF_00386	1500	120.5	118.00	81.84
BHNFMJIF_00387	3075	172.5	170.39	57.65
BHNFMJIF_00388	114	0.0	0.00	0.00
BHNFMJIF_00389	1446	231.5	226.95	163.30
BHNFMJIF_00390	3120	442.5	424.39	141.52
BHNFMJIF_00391	1599	321.5	308.87	200.98
BHNFMJIF_00392	4281	134.5	134.07	32.58
BHNFMJIF_00393	269	76.5	67.09	259.51
BHNFMJIF_00394	569	84.0	68.71	125.63
BHNFMJIF_00395	2706	49.5	43.59	16.76
BHNFMJIF_00396	930	48.5	47.41	53.04
BHNFMJIF_00397	567	1.0	1.00	1.83
BHNFMJIF_00398	1095	1.5	1.50	1.43
BHNFMJIF_00399	573	0.5	0.50	0.91
BHNFMJIF_00400	1410	1.0	1.00	0.74
BHNFMJIF_00401	1539	2.0	2.00	1.35
BHNFMJIF_00402	948	1.5	1.50	1.65
BHNFMJIF_00403	942	11.0	10.89	12.03
BHNFMJIF_00404	1404	8.0	7.36	5.45
BHNFMJIF_00405	792	13.5	11.72	15.39
BHNFMJIF_00406	2412	54.5	53.32	23.00
BHNFMJIF_00407	446	0.0	0.00	0.00
BHNFMJIF_00408	98	0.0	0.00	0.00
BHNFMJIF_00409	429	0.0	0.00	0.00
BHNFMJIF_00410	231	2.5	1.29	5.82
BHNFMJIF_00411	2379	26.5	25.96	11.35
BHNFMJIF_00412	198	1.0	1.00	5.25
BHNFMJIF_00413	501	12.5	10.65	22.12
BHNFMJIF_00414	291	109.0	88.09	314.94
BHNFMJIF_00415	1518	25.5	24.29	16.65
BHNFMJIF_00416	1089	11.0	8.32	7.95
BHNFMJIF_00417	1216	18.0	15.77	13.50
BHNFMJIF_00418	614	14.0	13.02	22.06
BHNFMJIF_00419	1093	14.0	10.27	9.78
BHNFMJIF_00420	1527	27.5	25.93	17.67
BHNFMJIF_00421	687	5.0	4.32	6.54
BHNFMJIF_00422	1038	11.0	10.78	10.81
BHNFMJIF_00423	780	7.0	5.32	7.09
BHNFMJIF_00424	1104	5.0	4.81	4.53
BHNFMJIF_00425	1056	7.0	4.68	4.61
BHNFMJIF_00426	1101	12.0	10.58	10.00
BHNFMJIF_00427	549	7.0	5.41	10.25
BHNFMJIF_00428	960	7.5	5.75	6.23
BHNFMJIF_00429	906	14.5	13.86	15.91
BHNFMJIF_00430	819	5.0	4.18	5.31
BHNFMJIF_00431	1080	18.5	15.30	14.74
BHNFMJIF_00432	1083	18.5	15.18	14.58
BHNFMJIF_00433	1044	25.0	22.17	22.10
BHNFMJIF_00434	429	18.0	14.05	34.07
BHNFMJIF_00435	2145	30.0	29.08	14.11
BHNFMJIF_00436	1824	13.0	12.74	7.27
BHNFMJIF_00437	2106	25.0	25.00	12.35
BHNFMJIF_00438	3975	76.5	76.36	19.99
BHNFMJIF_00439	1470	28.0	26.82	18.99
BHNFMJIF_00440	1200	21.0	18.97	16.45
BHNFMJIF_00441	2445	28.5	27.97	11.90
BHNFMJIF_00442	1296	1897.0	1882.72	1511.45
BHNFMJIF_00443	1569	245.0	239.48	158.81
BHNFMJIF_00444	207	149.0	112.21	564.00
BHNFMJIF_00445	2418	685.5	675.99	290.87
BHNFMJIF_00447	534	107.5	92.39	180.01
BHNFMJIF_00448	954	236.0	228.42	249.11
